EDO27699	SINLEJ018654
EDO27705	SINLEJ016359
EDO27705	SINLEJ008427
EDO27707	SINLEJ014073
EDO27708	SINLEJ012333
EDO27708	SINLEJ015555
EDO27708	SINLEJ010155
EDO27720	SINLEJ004647
EDO27720	SINLEJ018807
EDO27723	SINLEJ003852
EDO27731	SINLEJ004284
EDO27758	SINLEJ016862
EDO27758	SINLEJ007623
EDO27760	SINLEJ009416
EDO27772	SINLEJ005165
EDO27772	SINLEJ016221
EDO27777	SINLEJ016433
EDO27778	SINLEJ003843
EDO27778	SINLEJ003842
EDO27779	SINLEJ018415
EDO27804	SINLEJ016602
EDO27816	SINLEJ017787
EDO27816	SINLEJ017788
EDO27816	SINLEJ000069
EDO27819	SINLEJ014993
EDO27820	SINLEJ002849
EDO27822	SINLEJ003804
EDO27822	SINLEJ008596
EDO27824	SINLEJ600015
EDO27829	SINLEJ006766
EDO27839	SINLEJ003233
EDO27840	SINLEJ012702
EDO27846	SINLEJ012118
EDO27849	SINLEJ003432
EDO27856	SINLEJ010716
EDO27856	SINLEJ000608
EDO27862	SINLEJ016706
EDO27862	SINLEJ011178
EDO27867	SINLEJ011587
EDO27896	SINLEJ010009
EDO27902	SINLEJ007121
EDO27902	SINLEJ017703
EDO27908	SINLEJ005401
EDO27910	SINLEJ011940
EDO27912	SINLEJ003224
EDO27919	SINLEJ009569
EDO27921	SINLEJ017349
EDO27923	SINLEJ018929
EDO27933	SINLEJ005286
EDO27940	SINLEJ011281
EDO27941	SINLEJ005980
EDO27959	SINLEJ015832
EDO27959	SINLEJ008003
EDO27959	SINLEJ008007
EDO27959	SINLEJ006155
EDO27963	SINLEJ004555
EDO27973	SINLEJ000342
EDO27976	SINLEJ009871
EDO27976	SINLEJ600092
EDO27985	SINLEJ007385
EDO27989	SINLEJ015044
EDO27996	SINLEJ018276
EDO27996	SINLEJ018356
EDO27996	SINLEJ018749
EDO27997	SINLEJ001446
EDO27997	SINLEJ008461
EDO27999	SINLEJ600094
EDO27999	SINLEJ003276
EDO28002	SINLEJ011793
EDO28009	SINLEJ012311
EDO28045	SINLEJ017717
EDO28064	SINLEJ008504
EDO28065	SINLEJ017509
EDO28068	SINLEJ004578
EDO28070	SINLEJ012972
EDO28095	SINLEJ013261
EDO28096	SINLEJ015232
EDO28097	SINLEJ016273
EDO28097	SINLEJ017598
EDO28098	SINLEJ006638
EDO28098	SINLEJ005794
EDO28101	SINLEJ007863
EDO28105	SINLEJ600264
EDO28105	SINLEJ003385
EDO28110	SINLEJ018999
EDO28118	SINLEJ000062
EDO28120	SINLEJ014660
EDO28121	SINLEJ005781
EDO28126	SINLEJ004294
EDO28127	SINLEJ016885
EDO28141	SINLEJ000270
EDO28144	SINLEJ004189
EDO28158	SINLEJ013060
EDO28165	SINLEJ001427
EDO28178	SINLEJ010581
EDO28178	SINLEJ600185
EDO28185	SINLEJ016242
EDO28192	SINLEJ006162
EDO28199	SINLEJ018748
EDO28199	SINLEJ017666
EDO28199	SINLEJ018553
EDO28199	SINLEJ019075
EDO28210	SINLEJ007528
EDO28210	SINLEJ007529
EDO28214	SINLEJ004780
EDO28217	SINLEJ006041
EDO28217	SINLEJ006042
EDO28217	SINLEJ012494
EDO28219	SINLEJ010154
EDO28222	SINLEJ017264
EDO28224	SINLEJ016448
EDO28224	SINLEJ015288
EDO28226	SINLEJ010028
EDO28227	SINLEJ019154
EDO28228	SINLEJ018920
EDO28231	SINLEJ016966
EDO28236	SINLEJ010449
EDO28253	SINLEJ014258
EDO28268	SINLEJ017862
EDO28269	SINLEJ004813
EDO28288	SINLEJ010540
EDO28290	SINLEJ013854
EDO28296	SINLEJ010676
EDO28297	SINLEJ018115
EDO28305	SINLEJ004376
EDO28309	SINLEJ012898
EDO28326	SINLEJ000758
EDO28327	SINLEJ014182
EDO28327	SINLEJ014142
EDO28327	SINLEJ014183
EDO28340	SINLEJ005813
EDO28360	SINLEJ011229
EDO28390	SINLEJ011812
EDO28390	SINLEJ011819
EDO28399	SINLEJ016866
EDO28399	SINLEJ016252
EDO28407	SINLEJ004447
EDO28407	SINLEJ002864
EDO28409	SINLEJ005635
EDO28423	SINLEJ007187
EDO28432	SINLEJ004599
EDO28444	SINLEJ010501
EDO28444	SINLEJ003547
EDO28444	SINLEJ006544
EDO28444	SINLEJ010654
EDO28447	SINLEJ017721
EDO28452	SINLEJ017283
EDO28464	SINLEJ008876
EDO28472	SINLEJ018162
EDO28473	SINLEJ001768
